Cluster,Size,Density,Internal weight,Boundary weight,Quality,P-value,Members
1,7,0.3355,7.046,63.95,0.08290,0.999299,"Q31LU5 Q55357 Q31PC1 Q31RZ5 Q31NZ1 Q31R70 Q31RZ4"
2,7,0.3392,7.123,30.17,0.1389,0.695557,"Q03513 Q31NB3 Q03511 Q03512 Q31RK2 Q31NB2 Q31Q05"
3,13,0.3016,23.53,48.68,0.2396,0.118942,"Q9Z3G5 Q31JZ2 Q31LT1 Q31MN6 Q31K19 Q31PQ2 Q31LP4 Q8GJM0 Q31PN3 Q31QS5 Q31MG8 Q31N39 Q31MI8"
4,3,0.5353,1.606,2.476,0.1593,0.500000,"P55020 Q31LP0 Q31NA5"
5,61,0.3782,692.0,332.0,0.6038,0.00000,"O33698 Q31KE9 Q31QE3 P31160 P63200 Q31K30 Q31K59 Q31KV8 Q31L07 Q31L08 Q31L10 Q31L11 Q31L12 Q31L13 Q31L16 Q31L19 Q31L20 Q31L21 Q31L23 Q31L28 Q31L30 Q31L34 Q31LX8 Q31MB5 Q31MB7 Q31N15 Q31N17 Q31N52 Q31P66 Q31PL2 Q31PV3 Q31PV6 Q31QK4 Q31SC5 Q79PF4 Q9Z3H5 Q31L15 P42079 Q31L83 Q31QK6 Q9R6W2 Q31K48 Q31L09 Q31L17 Q31L18 Q31L22 Q31L29 Q31L31 Q31L33 Q31NR2 Q31QK3 Q79AV0 Q31MH9 Q31L35 Q31NR1 Q31S95 Q59988 Q31RE0 Q31S72 Q9Z3H6 Q31P67"
6,7,0.3223,6.769,72.25,0.07277,0.846657,"Q54705 Q31RI7 Q31RN3 Q8GIT7 Q54704 Q31LV9 Q31QY1"
7,39,0.3048,225.9,453.9,0.2981,0.0736619,"P12243 Q31L59 Q54705 Q31M58 Q31QY2 O50209 P06539 P13530 Q31KE0 Q31LK8 Q31LK9 Q31LY1 Q31N86 Q31PD8 Q31PD9 Q31Q37 Q31Q65 Q31QD7 Q31RF9 Q31RG0 Q31RG1 Q31RG2 Q31RP7 Q44115 Q44116 Q8VW88 Q9Z3G5 O85785 P33171 Q31PL1 Q31QJ2 Q31RI7 Q31KS4 Q31MY7 Q31S39 Q31KU2 Q31P73 Q31PV4 Q31P74"
8,4,0.3485,2.091,15.94,0.08033,0.971227,"Q31R92 Q31KY4 Q31LS0 Q31RD9"
9,4,0.4067,2.440,7.835,0.1335,0.903035,"Q8GJL5 Q31PS2 Q31KP1 Q31MF9"
10,53,0.2490,343.2,313.6,0.4499,1.16700e-06,"Q31LY1 Q31NV7 Q31RF1 Q8GIS4 Q31ME6 P0A2Z8 Q31KS4 Q31QV2 Q31RF4 Q31ML0 Q31RF0 Q31RF3 P10340 P11004 P15347 P31094 P95822 P95823 Q31LJ0 Q31LJ1 Q31NL7 Q31NT9 Q31NU0 Q31PI7 Q31PR9 P11005 P11472 Q31L05 Q31MS2 Q31NJ5 Q31NL0 Q31NM5 Q31P07 Q31P08 Q31PD0 Q31PP7 Q31PS1 Q31QF5 Q31RA2 Q31RE4 Q31RJ0 Q31RZ5 Q31S00 Q935X8 Q31N64 Q8GIT3 Q8KPT7 Q935X4 Q31QY6 Q31KR8 Q31LQ7 Q8VPV6 Q31LY2"
11,6,0.7555,11.33,25.31,0.2330,0.189239,"O34209 P22879 P50020 P50022 P53533 Q31LG5"
12,12,0.3123,20.61,74.98,0.1724,0.857262,"Q31QZ9 O34209 P21577 Q31QL4 Q31RI6 Q31MH0 Q31M79 Q31QL1 Q55041 Q59943 Q31LA3 Q31NI7"
13,12,0.3047,20.11,53.29,0.2065,0.253360,"O32463 Q31LH6 Q31PF2 Q31PY5 Q31PZ6 Q31QT5 Q8GMR3 Q935Y4 Q31N34 Q31JX7 Q31S25 Q31N26"
14,20,0.3091,58.73,134.9,0.2513,0.590925,"P16954 Q31P93 Q31RM5 Q935Y4 Q31P62 P16891 Q31KI0 Q31MF2 Q31N34 Q31NF6 Q31PT6 Q31QQ3 Q31RK5 Q31LW9 Q31MF4 Q31PP6 Q31NQ0 Q31KX6 Q31NS1 Q31LR6"
15,10,0.3113,14.01,42.76,0.1825,0.688412,"Q31KQ9 Q31QL7 Q31M23 Q31KR8 Q8KPS9 Q31KN9 Q31R79 Q54764 Q31QR3 Q31RL9"
16,4,0.3533,2.120,22.41,0.06517,0.764757,"Q8GJL5 Q31RE9 Q31KK1 Q31RL4"
17,11,0.3081,16.95,55.96,0.1785,0.578084,"Q54709 Q79N42 Q7X4K8 Q31MB6 Q31PU9 P38023 Q31SB9 P74764 Q31KD2 Q31LH5 Q31PW3"
18,8,0.3014,8.439,53.10,0.1088,0.984338,"Q31RM5 Q31P52 Q8KPU9 Q31QK9 Q31K19 Q31PQ2 Q31QP0 Q31S66"
19,13,0.2830,22.07,82.77,0.1687,0.986277,"Q31LW2 Q31PM2 Q31PS0 Q31S19 Q31QC4 Q9L4P3 P39661 Q31P74 Q8GMR7 Q31LP4 Q31QV0 Q8KPQ0 Q31QR1"
20,5,0.4437,4.437,12.36,0.1656,0.661948,"Q31KN1 Q31LV2 Q31NF4 Q31P44 Q31Q67"
21,20,0.3035,57.67,85.45,0.3149,0.0405087,"Q31MQ3 P32084 Q31KS8 Q31L26 Q31M29 Q31N88 Q31PK1 Q31PX4 Q31QV8 Q31RH4 Q31LX5 Q31RE9 Q31KN1 Q31QV6 Q31S42 Q31M27 Q31QY0 Q31M49 Q31Q19 Q31P58"
22,4,0.3447,2.068,18.89,0.07141,0.557383,"O06865 Q31N85 Q31P46 Q31P47"
23,19,0.3000,51.30,136.6,0.2271,0.957510,"P16954 Q31P93 Q31KF2 Q31PU9 Q31QQ0 Q31QU9 Q31SC8 P16891 Q31KI0 Q31PT6 Q31RK5 Q31LT0 Q31LW9 Q31NC9 Q31PI8 Q31QC6 Q31QL9 Q55041 Q31QV3"
24,3,0.5067,1.520,12.42,0.07623,0.326548,"O34125 Q9L4P4 P54415"
25,4,0.3152,1.891,8.702,0.1017,0.903035,"Q31KU2 Q54704 Q31Q47 Q9Z3G6"
26,15,0.3122,32.79,93.97,0.2091,0.808160,"O06865 P43087 Q31KE9 Q31N85 Q54709 Q59984 Q79N42 Q7X4K8 Q31MB6 Q31NC9 Q31SB9 P74764 Q31KD2 Q31LH5 Q31PW3"
27,38,0.3061,215.2,447.3,0.2914,0.497928,"O50209 P06539 P13530 Q31KE0 Q31LK8 Q31LK9 Q31LY1 Q31N86 Q31NV7 Q31PD8 Q31PD9 Q31Q37 Q31Q65 Q31QD7 Q31RF1 Q31RF9 Q31RG0 Q31RG1 Q31RG2 Q31RP7 Q44115 Q44116 Q54755 Q9Z3G5 P0A2Z8 Q31KS4 Q31NV8 Q31QV2 Q31RF4 Q31RF0 Q31RF3 P10340 Q31PI7 Q31P52 Q31S39 Q31NB3 Q31RM7 Q31PV4"
28,6,0.3013,4.520,16.17,0.1383,0.531907,"Q31PY6 Q31KX4 Q31LC9 Q31Q76 Q31QY8 Q31LP7"
29,13,0.3021,23.56,42.13,0.2570,0.0503669,"Q31SC8 Q31M79 Q31QL1 Q31R91 Q59943 Q31NM6 Q31LA3 Q31LF9 Q31PI6 Q31M42 Q31M80 Q31RU8 Q31QP0"
30,4,0.3328,1.997,14.96,0.08002,0.764757,"Q31KM1 P27366 P38043 Q31Q29"
31,5,0.3062,3.062,21.15,0.08951,0.338052,"Q31PL8 Q31R92 Q31M00 Q31PT8 Q31PD2"
32,11,0.4842,26.63,94.86,0.1856,0.853356,"Q31LY1 Q31ME6 Q31L05 Q31NJ5 Q31P07 Q31P08 Q8GIT3 Q31LQ7 Q8VPV6 Q31NE2 Q8KPP5"
33,3,0.4427,1.328,2.658,0.1330,0.331260,"Q31PB1 Q31RY9 Q31R83"
34,4,0.3525,2.115,10.04,0.1049,0.667497,"Q31MC6 Q54767 Q31K00 Q31Q69"
35,4,0.3410,2.046,8.703,0.1091,0.442275,"Q31K49 Q03512 Q31K87 Q31RB2"
36,4,0.3277,1.966,13.40,0.08413,0.903035,"Q31KG2 Q54777 Q31QF3 Q31RJ9"
37,15,0.3000,31.50,22.36,0.3757,0.000192088,"Q31M83 Q31N93 Q31PM0 Q31QF8 Q31KR6 Q31KK2 Q31MZ1 Q31N54 Q31QP4 Q31RK1 Q8GMT3 Q31LN6 Q31QA2 Q31QM2 Q31QS6"
38,11,0.3311,18.21,41.86,0.2219,0.299680,"Q31KP3 P32084 Q31MF5 Q31QU3 Q31QV8 Q31S48 Q31K06 Q31S64 Q31LJ3 Q31N83 Q31P58"
39,4,0.3085,1.851,12.94,0.08122,0.667497,"Q31S58 Q31LL9 Q31LL6 Q8KPV3"
40,5,0.3507,3.507,23.05,0.09594,0.996692,"P39660 Q31Q43 Q31QI4 Q31LV7 Q31R58"
41,4,0.3260,1.956,8.744,0.1046,0.667497,"Q31LU7 Q31QJ5 Q31L49 Q31MJ6"
42,8,0.3338,9.345,16.64,0.2226,0.356596,"Q8L1E5 Q31JY3 Q31LL0 Q31KL4 Q31LC9 Q31Q76 Q31QY8 Q31S11"
43,10,0.3029,13.63,49.42,0.1641,0.807663,"Q31KG2 P18655 Q31LL7 Q31LW2 Q31PM2 Q31PS0 Q31QC5 Q31R14 Q54777 Q31MA8"
44,5,0.3214,3.214,13.02,0.1225,0.500000,"P39661 Q31Q60 Q31S44 Q31MM7 Q31N18"
45,4,0.3380,2.028,6.498,0.1227,0.233913,"Q31Q06 Q31M08 Q31M37 Q31QT3"
46,13,0.3042,23.73,58.45,0.2193,0.322206,"Q9Z3G5 Q31PN5 Q31PQ2 Q31LF2 Q31L36 Q31LP4 Q31MF3 Q31PX5 Q8GJM0 Q31PN3 Q31MU1 Q31MG8 Q31MI8"
47,4,0.3528,2.117,15.51,0.08260,0.843839,"Q8GMR4 Q8GMR7 Q31KC6 Q31LE9"
