Regulator_Name,Regulator_Gene_ID,Regulatee_Gene_ID
RpaA,H6G84_RS07345,H6G84_RS07770
RpaA,H6G84_RS07345,H6G84_RS07765
RpaA,H6G84_RS07345,H6G84_RS07660
RpaA,H6G84_RS07345,H6G84_RS07565
RpaA,H6G84_RS07345,H6G84_RS07550
RpaA,H6G84_RS07345,H6G84_RS07345
RpaA,H6G84_RS07345,H6G84_RS07320
RpaA,H6G84_RS07345,H6G84_RS07315
RpaA,H6G84_RS07345,H6G84_RS07160
RpaA,H6G84_RS07345,H6G84_RS06900
RpaA,H6G84_RS07345,H6G84_RS06795
RpaA,H6G84_RS07345,H6G84_RS06575
RpaA,H6G84_RS07345,H6G84_RS06570
RpaA,H6G84_RS07345,H6G84_RS06500
RpaA,H6G84_RS07345,H6G84_RS06460
RpaA,H6G84_RS07345,H6G84_RS06210
RpaA,H6G84_RS07345,H6G84_RS06205
RpaA,H6G84_RS07345,H6G84_RS05930
RpaA,H6G84_RS07345,H6G84_RS05890
RpaA,H6G84_RS07345,H6G84_RS05885
RpaA,H6G84_RS07345,H6G84_RS05795
RpaA,H6G84_RS07345,H6G84_RS05655
RpaA,H6G84_RS07345,H6G84_RS05650
RpaA,H6G84_RS07345,H6G84_RS05605
RpaA,H6G84_RS07345,H6G84_RS05415
RpaA,H6G84_RS07345,H6G84_RS05410
RpaA,H6G84_RS07345,H6G84_RS05345
RpaA,H6G84_RS07345,H6G84_RS05305
RpaA,H6G84_RS07345,H6G84_RS04975
RpaA,H6G84_RS07345,H6G84_RS04970
RpaA,H6G84_RS07345,H6G84_RS04895
RpaA,H6G84_RS07345,H6G84_RS13220
RpaA,H6G84_RS07345,H6G84_RS13435
RpaA,H6G84_RS07345,H6G84_RS13445
RpaA,H6G84_RS07345,H6G84_RS13135
RpaA,H6G84_RS07345,H6G84_RS12365
RpaA,H6G84_RS07345,H6G84_RS12145
RpaA,H6G84_RS07345,H6G84_RS12115
RpaA,H6G84_RS07345,H6G84_RS12065
RpaA,H6G84_RS07345,H6G84_RS11880
RpaA,H6G84_RS07345,H6G84_RS10510
RpaA,H6G84_RS07345,H6G84_RS09790
RpaA,H6G84_RS07345,H6G84_RS09265
RpaA,H6G84_RS07345,H6G84_RS09250
RpaA,H6G84_RS07345,H6G84_RS09220
RpaA,H6G84_RS07345,H6G84_RS08905
RpaA,H6G84_RS07345,H6G84_RS08345
RpaA,H6G84_RS07345,H6G84_RS08190
RpaA,H6G84_RS07345,H6G84_RS10585
RpaA,H6G84_RS07345,H6G84_RS10640
RpaA,H6G84_RS07345,H6G84_RS10970
RpaA,H6G84_RS07345,H6G84_RS11175
RpaA,H6G84_RS07345,H6G84_RS11260
RpaA,H6G84_RS07345,H6G84_RS11375
RpaA,H6G84_RS07345,H6G84_RS11415
RpaA,H6G84_RS07345,H6G84_RS11420
RpaA,H6G84_RS07345,H6G84_RS11500
RpaA,H6G84_RS07345,H6G84_RS11530
RpaA,H6G84_RS07345,H6G84_RS11785
RpaA,H6G84_RS07345,H6G84_RS11785
RpaA,H6G84_RS07345,H6G84_RS04765
RpaA,H6G84_RS07345,H6G84_RS04715
RpaA,H6G84_RS07345,H6G84_RS04285
RpaA,H6G84_RS07345,H6G84_RS04280
RpaA,H6G84_RS07345,H6G84_RS04260
RpaA,H6G84_RS07345,H6G84_RS04070
RpaA,H6G84_RS07345,H6G84_RS03970
RpaA,H6G84_RS07345,H6G84_RS03870
RpaA,H6G84_RS07345,H6G84_RS03840
RpaA,H6G84_RS07345,H6G84_RS03830
RpaA,H6G84_RS07345,H6G84_RS03740
RpaA,H6G84_RS07345,H6G84_RS03170
RpaA,H6G84_RS07345,H6G84_RS03095
RpaA,H6G84_RS07345,H6G84_RS03045
RpaA,H6G84_RS07345,H6G84_RS03040
RpaA,H6G84_RS07345,H6G84_RS03020
RpaA,H6G84_RS07345,H6G84_RS02990
RpaA,H6G84_RS07345,H6G84_RS02980
RpaA,H6G84_RS07345,H6G84_RS02670
RpaA,H6G84_RS07345,H6G84_RS02555
