affector,target,strength
P_tesA,H6G84_RS04855,0.44356403
P_rpaA,H6G84_RS04855,-0.13675533
P_kaiBC,H6G84_RS04855,-0.16466877
P_rpaA_D53E,H6G84_RS04855,1.0202882
P_OX_plasmid,H6G84_RS04855,0.7265036
P_Subjective_dawn,H6G84_RS04855,0.1450893
P_p0050_kaiBC,H6G84_RS04855,-0.2915844
P_sigF,H6G84_RS04855,-0.12479739
P_pAM2991-xylEAB,H6G84_RS04855,0.4860079
H6G84_RS05285,H6G84_RS08385,0.140282
P_p0050_kaiBC,H6G84_RS08385,-0.22740407
P_relA,H6G84_RS08385,0.41170582
H6G84_RS12160,H6G84_RS09745,-0.14135155
H6G84_RS03615,H6G84_RS09745,-0.10017564
H6G84_RS05285,H6G84_RS09745,-0.43016466
H6G84_RS09525,H6G84_RS09745,0.42062864
H6G84_RS11200,H6G84_RS09745,-0.1994596
H6G84_RS05575,H6G84_RS09745,-0.19393997
P_tesA,H6G84_RS09745,0.47542575
P_rpaA_D53E,H6G84_RS09745,0.5646838
P_OX_plasmid,H6G84_RS09745,0.77437
P_Subjective_dawn,H6G84_RS09745,0.43244642
P_Subjective_dusk,H6G84_RS09745,-0.5574053
P_p0050_kaiBC,H6G84_RS09745,-0.5263086
P_relA_E335Q,H6G84_RS09745,0.14682107
P_sigF,H6G84_RS09745,-0.48472968
P_pAM2991-xylEAB,H6G84_RS09745,0.41541672
P_pAM2991-galP,H6G84_RS09745,0.15236455
P_pilB::Tn5,H6G84_RS09745,-0.1325267
P_CM,H6G84_RS09745,0.19402161
H6G84_RS04855,H6G84_RS01795,0.10945511
H6G84_RS09525,H6G84_RS01795,0.14130238
P_rpaA_D53E,H6G84_RS01795,0.2209493
P_OX_plasmid,H6G84_RS01795,0.3729649
P_p0050_kaiBC,H6G84_RS01795,-0.25656834
P_OX_plasmid,H6G84_RS02065,0.20856044
P_relA,H6G84_RS02065,0.20351274
P_pAM2991-xylEAB,H6G84_RS02065,-0.2283673
P_pilB::Tn5,H6G84_RS02065,0.13691485
H6G84_RS11960,H6G84_RS06060,0.24050324
P_rpaA_D53E,H6G84_RS06060,0.31547898
P_OX_plasmid,H6G84_RS06060,0.38780922
P_p0050_kaiBC,H6G84_RS06060,-0.12308943
H6G84_RS13220,H6G84_RS13065,-0.10238562
P_Light(umol_photons_m-2_s-1),H6G84_RS13065,0.2508855
H6G84_RS13220,H6G84_RS03740,0.2384985
P_OX_plasmid,H6G84_RS04910,0.25486872
P_p0050_kaiBC,H6G84_RS04910,-0.36738384
H6G84_RS05285,H6G84_RS10905,-0.39472806
P_rpaA_D53E,H6G84_RS10905,0.20252164
P_OX_plasmid,H6G84_RS10905,0.51808697
P_p0050_kaiBC,H6G84_RS10905,-0.18692058
P_rpaA_D53E,H6G84_RS08505,0.14296588
P_OX_plasmid,H6G84_RS08505,0.3202587
P_p0050_kaiBC,H6G84_RS08505,-0.41171467
P_rpaA_D53E,H6G84_RS11970,0.24748197
P_OX_plasmid,H6G84_RS11970,0.33205023
P_p0050_kaiBC,H6G84_RS11970,-0.18681473
H6G84_RS04855,H6G84_RS05250,0.318922
H6G84_RS03180,H6G84_RS05250,-0.18606335
H6G84_RS04225,H6G84_RS05250,0.12788253
H6G84_RS09525,H6G84_RS05250,0.12366675
H6G84_RS05575,H6G84_RS05250,-0.13256106
P_rpaA,H6G84_RS05250,-0.19578002
P_kaiBC,H6G84_RS05250,-0.2409583
P_rpaA_D53E,H6G84_RS05250,0.65109223
P_OX_plasmid,H6G84_RS05250,0.399115
P_Subjective_dawn,H6G84_RS05250,0.17252241
P_rpaA_D53E,H6G84_RS02260,0.37214214
P_OX_plasmid,H6G84_RS02260,0.68137366
P_p0050_kaiBC,H6G84_RS02260,-0.18089582
H6G84_RS12160,H6G84_RS03380,0.228736
H6G84_RS05575,H6G84_RS03380,0.11016471
P_p0050_kaiBC,H6G84_RS03380,-0.29264745
P_rel,H6G84_RS03380,-0.32362142
P_relA_E335Q,H6G84_RS03380,0.13947833
H6G84_RS12560,H6G84_RS03180,0.1200683
P_tesA,H6G84_RS03180,-0.13561714
P_rpaA,H6G84_RS03180,0.3141431
P_rpaA_D53E,H6G84_RS03180,-0.7446707
P_OX_plasmid,H6G84_RS03180,-0.52190924
P_pAM2991-xylEAB,H6G84_RS03180,-0.30949703
H6G84_RS12160,H6G84_RS07065,0.17050734
P_tesA,H6G84_RS07065,0.16019635
P_rpaA_D53E,H6G84_RS07065,0.31641182
P_OX_plasmid,H6G84_RS07065,0.39830387
P_p0050_kaiBC,H6G84_RS07065,-0.3139317
P_relA,H6G84_RS07065,0.1189931
P_pAM2991-xylEAB,H6G84_RS07065,0.2518841
P_pilB::Tn5,H6G84_RS07065,-0.38253745
P_Light(umol_photons_m-2_s-1),H6G84_RS10965,-0.18235058
P_p0050_kaiBC,H6G84_RS12810,-0.807615
H6G84_RS05285,H6G84_RS12160,0.18540275
H6G84_RS00730,H6G84_RS12160,0.1639458
H6G84_RS09525,H6G84_RS12160,0.25895178
H6G84_RS11960,H6G84_RS12160,0.10305542
H6G84_RS05575,H6G84_RS12160,0.5247508
P_tesA,H6G84_RS12160,0.7245541
P_rpaA_D53E,H6G84_RS12160,0.2665508
P_OX_plasmid,H6G84_RS12160,0.7870426
P_Subjective_dawn,H6G84_RS12160,-0.18272135
P_Subjective_dusk,H6G84_RS12160,0.50216925
P_p0050_kaiBC,H6G84_RS12160,-0.66515803
P_rel,H6G84_RS12160,-0.27712178
P_relA,H6G84_RS12160,0.6636836
P_relA_E335Q,H6G84_RS12160,0.72147083
P_pAM2991-xylEAB,H6G84_RS12160,0.5025368
P_pAM2991-galP,H6G84_RS12160,0.44220203
P_pilB::Tn5,H6G84_RS12160,0.13692261
P_CM,H6G84_RS12160,0.39023104
H6G84_RS12160,H6G84_RS03615,0.21975806
H6G84_RS10470,H6G84_RS03615,0.11900237
H6G84_RS05285,H6G84_RS03615,0.27839953
H6G84_RS11200,H6G84_RS03615,0.12417016
P_tesA,H6G84_RS03615,-0.17766967
P_rpaA_D53E,H6G84_RS03615,0.26919493
P_OX_plasmid,H6G84_RS03615,0.17194095
P_Subjective_dusk,H6G84_RS03615,0.2634775
P_p0050_kaiBC,H6G84_RS03615,-0.24193634
P_relA,H6G84_RS03615,0.20151685
P_relA_E335Q,H6G84_RS03615,0.11954116
H6G84_RS12160,H6G84_RS03495,0.23491623
H6G84_RS11200,H6G84_RS03495,0.22444227
P_tesA,H6G84_RS03495,-0.10816734
P_rpaA_D53E,H6G84_RS03495,0.18207756
P_OX_plasmid,H6G84_RS03495,0.31235406
P_p0050_kaiBC,H6G84_RS03495,-0.22736329
P_rel,H6G84_RS03495,-0.7377833
P_relA,H6G84_RS03495,-0.10707122
P_relA_E335Q,H6G84_RS03495,0.25211155
P_sigF,H6G84_RS03495,0.11059374
P_pilB::Tn5,H6G84_RS03495,0.21853265
H6G84_RS03180,H6G84_RS04575,-0.15413041
H6G84_RS02020,H6G84_RS04575,-0.2005615
H6G84_RS05575,H6G84_RS04575,-0.18703166
H6G84_RS01390,H6G84_RS04575,-0.16359894
P_tesA,H6G84_RS04575,-0.18023477
P_rpaA_D53E,H6G84_RS04575,0.6490735
P_OX_plasmid,H6G84_RS04575,0.46181887
P_p0050_kaiBC,H6G84_RS04575,0.44875634
P_relA,H6G84_RS04575,-0.13236934
H6G84_RS12160,H6G84_RS10470,0.5341588
H6G84_RS05285,H6G84_RS10470,0.2040504
H6G84_RS09525,H6G84_RS10470,0.10031088
H6G84_RS11200,H6G84_RS10470,0.14714804
H6G84_RS05575,H6G84_RS10470,0.1310756
P_tesA,H6G84_RS10470,-0.27197233
P_rpaA_D53E,H6G84_RS10470,0.32919908
P_OX_plasmid,H6G84_RS10470,0.42999947
P_Subjective_dusk,H6G84_RS10470,0.15454893
P_p0050_kaiBC,H6G84_RS10470,-0.24315609
P_relA,H6G84_RS10470,0.32190037
P_sigF,H6G84_RS10470,-0.3217076
P_pilB::Tn5,H6G84_RS10470,0.12612735
P_p0050_kaiBC,H6G84_RS09475,-0.17842576
H6G84_RS12160,H6G84_RS02855,0.18946156
H6G84_RS05285,H6G84_RS02855,0.123044536
H6G84_RS05575,H6G84_RS02855,0.16089407
P_OX_plasmid,H6G84_RS02855,0.13258359
P_p0050_kaiBC,H6G84_RS02855,-0.3945037
P_rel,H6G84_RS02855,-0.22180079
H6G84_RS09745,H6G84_RS09500,0.19298223
H6G84_RS11960,H6G84_RS09500,0.118426844
P_tesA,H6G84_RS09500,-0.5628357
P_OX_plasmid,H6G84_RS09500,0.3124779
P_p0050_kaiBC,H6G84_RS09500,-0.4572484
P_relA,H6G84_RS09500,-0.40982175
P_pilB::Tn5,H6G84_RS09500,0.4322842
P_CM,H6G84_RS09500,0.10683679
H6G84_RS12160,H6G84_RS07330,0.105498984
H6G84_RS11200,H6G84_RS07330,0.15509148
P_rpaA_D53E,H6G84_RS07330,0.12871112
P_OX_plasmid,H6G84_RS07330,0.20087124
P_Subjective_dawn,H6G84_RS07330,-0.107975796
P_p0050_kaiBC,H6G84_RS07330,-0.12704925
P_rel,H6G84_RS07330,-0.15835327
H6G84_RS05285,H6G84_RS07345,-0.10848244
H6G84_RS00730,H6G84_RS07345,-0.13216594
H6G84_RS05575,H6G84_RS07345,-0.138509
P_rpaA_D53E,H6G84_RS07345,0.22080016
P_OX_plasmid,H6G84_RS07345,0.224081
P_Subjective_dawn,H6G84_RS07345,0.11370305
P_Subjective_dusk,H6G84_RS07345,-0.2871856
P_p0050_kaiBC,H6G84_RS07345,-0.38133886
P_relA_E335Q,H6G84_RS07345,-0.12660368
P_rpaA_D53E,H6G84_RS10475,0.17509557
P_OX_plasmid,H6G84_RS10475,0.27168602
