,gene_weight,product_accession,locus_tag_old,GeneID,start,end,strand,COG,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,P2TF_description,DeepTF_prediction,ENTRAF_hmm_name,iTAK_Detail,module
H6G84_RS04625,0.1997936809489073,WP_011244726.1,Synpcc7942_1674,,911109.0,911420.0,+,S,,,,,,,,,,,,,,0.0,,,0
H6G84_RS04630,0.1352005023763786,WP_011244727.1,Synpcc7942_1673,,911421.0,912086.0,+,T,-,-,-,-,-,-,-,-,-,-,-,CCB2_CCB4,,0.0,,,0
H6G84_RS10740,0.2479928558707043,WP_011242449.1,Synpcc7942_1421,,40266.0,40574.0,+,C,-,-,ko:K08696,-,-,-,-,ko00000,-,-,-,BMC,,0.0,,,0
H6G84_RS10745,0.3032058834899471,WP_011242448.1,Synpcc7942_1422,,40721.0,41020.0,+,C,-,-,ko:K08697,-,-,-,-,ko00000,-,-,-,EutN_CcmL,,0.0,,,0
H6G84_RS10750,0.2726160330107042,WP_011378029.1,Synpcc7942_1423,,41086.0,42705.0,+,C,"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363",-,ko:K08698,-,-,-,-,ko00000,-,-,-,"Hexapep,Hexapep_2,RuBisCO_small",,0.0,,,0
H6G84_RS10755,0.2241951057477327,WP_011242446.1,Synpcc7942_1424,,42740.0,43225.0,+,S,-,-,ko:K08699,-,-,-,-,ko00000,-,-,-,-,,0.0,,,0
H6G84_RS10765,0.2266649439656413,WP_011242444.1,Synpcc7942_1426,,44488.0,45906.0,+,H,"GO:0000287,GO:0003674,GO:0003824,GO:0004497,GO:0005488,GO:0005975,GO:0008150,GO:0008152,GO:0009058,GO:0009853,GO:0009987,GO:0015977,GO:0015979,GO:0016051,GO:0016491,GO:0016829,GO:0016830,GO:0016831,GO:0016984,GO:0019253,GO:0019685,GO:0043094,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0046872,GO:0055114,GO:0071704,GO:1901576",4.1.1.39,ko:K01601,"ko00630,ko00710,ko01100,ko01120,ko01200,map00630,map00710,map01100,map01120,map01200","M00165,M00166,M00532","R00024,R03140","RC00172,RC00859","ko00000,ko00001,ko00002,ko01000",-,-,-,"RuBisCO_large,RuBisCO_large_N",,0.0,,,0
H6G84_RS10770,0.2239135415500737,WP_011242443.1,Synpcc7942_1427,,45997.0,46332.0,+,C,"GO:0003674,GO:0003824,GO:0004497,GO:0005975,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0015977,GO:0015979,GO:0016051,GO:0016491,GO:0016829,GO:0016830,GO:0016831,GO:0016984,GO:0019253,GO:0019685,GO:0044237,GO:0044238,GO:0055114,GO:0071704,GO:1901576",4.1.1.39,ko:K01602,"ko00630,ko00710,ko01100,ko01120,ko01200,map00630,map00710,map01100,map01120,map01200","M00165,M00166,M00532","R00024,R03140","RC00172,RC00859","ko00000,ko00001,ko00002,ko01000",-,-,-,RuBisCO_small,,0.0,,,0
H6G84_RS10875,0.132304904384224,WP_011378036.1,Synpcc7942_1447,,65516.0,66334.0,+,P,"GO:0003674,GO:0003824,GO:0004089,GO:0005488,GO:0008150,GO:0008270,GO:0015976,GO:0016829,GO:0016835,GO:0016836,GO:0043167,GO:0043169,GO:0046872,GO:0046914",4.2.1.1,ko:K01673,"ko00910,map00910",-,"R00132,R10092",RC02807,"ko00000,ko00001,ko01000",-,-,-,Pro_CA,,0.0,,,0
H6G84_RS08770,0.4848896576896906,WP_155813857.1,,,167460.0,167615.0,+,S,,,,,,,,,,,,,,,,,1
H6G84_RS00020,0.2360656234294395,WP_011243848.1,Synpcc7942_2572,,2898.0,3215.0,+,S,-,-,-,-,-,-,-,-,-,-,-,DUF1825,,0.0,,,2
H6G84_RS13840,0.0979806468717242,WP_011243909.1,Synpcc7942_2507,,67319.0,67738.0,+,S,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,,,2
H6G84_RS00370,0.1009898282191098,WP_011243910.1,Synpcc7942_2506,,67778.0,68476.0,+,C,"GO:0000103,GO:0003674,GO:0003824,GO:0004604,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006790,GO:0008150,GO:0008152,GO:0009058,GO:0009403,GO:0009404,GO:0009987,GO:0016491,GO:0016667,GO:0016671,GO:0017144,GO:0019379,GO:0019419,GO:0019748,GO:0044237,GO:0044249,GO:0044272,GO:0044424,GO:0044464,GO:0044550,GO:0055114,GO:0070813,GO:0070814","1.8.4.10,1.8.4.8",ko:K00390,"ko00920,ko01100,ko01120,map00920,map01100,map01120",M00176,R02021,"RC00007,RC02862","ko00000,ko00001,ko00002,ko01000",-,-,-,PAPS_reduct,,0.0,,,2
H6G84_RS00375,0.1019802388529274,WP_011243911.1,Synpcc7942_2505,,68489.0,69145.0,-,S,-,2.1.1.104,ko:K00588,"ko00360,ko00940,ko00941,ko00945,ko01100,ko01110,map00360,map00940,map00941,map00945,map01100,map01110","M00039,M00350","R01942,R06578","RC00003,RC00392","ko00000,ko00001,ko00002,ko01000",-,-,-,Methyltransf_3,,0.0,,,2
H6G84_RS00500,0.1142567396141479,WP_011243936.1,Synpcc7942_2478,psb28,95401.0,95775.0,+,S,-,-,ko:K08904,"ko00195,ko01100,map00195,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Psb28,,0.0,,,2
H6G84_RS00550,0.1817423843493861,WP_011378479.1,Synpcc7942_2468,dnaK,104749.0,106653.0,-,O,"GO:0000166,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0006457,GO:0008144,GO:0008150,GO:0009987,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0051082,GO:0097159,GO:0097367,GO:1901265,GO:1901363",-,ko:K04043,"ko03018,ko04212,ko05152,map03018,map04212,map05152",-,-,-,"ko00000,ko00001,ko03019,ko03029,ko03110,ko04147",1.A.33.1,-,-,HSP70,,0.0,,,2
H6G84_RS00895,0.2979919653322696,WP_011244014.1,Synpcc7942_2401,,179335.0,179826.0,+,O,-,-,ko:K13993,"ko04141,map04141",-,-,-,"ko00000,ko00001,ko03110",-,-,-,HSP20,,0.0,,,2
H6G84_RS01135,0.1110182312639019,WP_011244058.1,Synpcc7942_2355,,233173.0,233496.0,+,S,-,-,-,-,-,-,-,-,-,-,-,Phasin,,0.0,,,2
